,APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,Unnamed: 13,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
2309,16721655.0,,2018-10-26,12.0,FC TW PLATINUM DP -129,39000000.0,0.0,39000000.0,35.0,18.0,12.0,1.0,,,1.0,1.0,1.0,,M,47.0,,15000000.0,0.0,800000.0,30000000.0,3000000.0,Married,College,TỈNH PHÚ YÊN,Tuy Hòa,TỈNH PHÚ YÊN
1436,16433497.0,2017-10-06,2018-10-26,12.0,FC UP DSA TS SCORE 2 NEW- 762,30000000.0,1650000.0,,45.0,18.0,12.0,1.0,29400000.0,,1.0,1.0,1.0,2449603.0,M,37.0,,10000000.0,0.0,18000000.0,30000000.0,5000000.0,Married,High School,Tỉnh An Giang,Thoại Sơn,Tỉnh An Giang
2418,16849664.0,2017-10-26,2018-10-26,12.0,FC CD DMX SEP OUT-1896,3200000.0,211200.0,3411200.0,0.01,6.0,5.0,0.0,3486000.0,,1.0,0.0,1.0,569000.0,F,21.0,,6000000.0,0.0,800000.0,14000000.0,3500000.0,Married,College,Tỉnh Đồng Nai,Long Thành,Tỉnh Đồng Nai
3986,16594493.0,2017-10-13,2018-10-26,12.0,FC UP DSA TS SCORE 2 NEW- 762,15000000.0,825000.0,15825000.0,45.0,,,,19828460.0,,0.0,,1.0,1661820.0,F,56.0,,7000000.0,0.0,9600000.0,,3000000.0,,Middle School,Tỉnh Bình Định,Hoài Ân,Tỉnh Bình Định
3098,,2017-10-19,2018-10-26,12.0,FC UP L.G 2 TSA SCORE NEW- 617,15000000.0,825000.0,15825000.0,44.5,12.0,,0.0,8800000.0,,0.0,0.0,0.0,,F,21.0,,6000000.0,0.0,18000000.0,20000000.0,4500000.0,Single,High School,Tỉnh An Giang,Châu Thành,Tỉnh An Giang
4588,,2017-10-17,2018-10-26,,FC UP L.G 2 TSA SCORE NEW- 617,30000000.0,1650000.0,31650000.0,44.5,24.0,3.0,0.0,6079000.0,,0.0,0.0,0.0,2014302.0,F,58.0,,15000000.0,0.0,18000000.0,25000000.0,3000000.0,Married,High School,Thành phố Hà Nội,Phúc Thọ,
283,16660429.0,2017-10-17,2018-10-26,12.0,FC UP L.G 2 TSA SCORE NEW- 617,25000000.0,1375000.0,26375000.0,44.5,18.0,12.0,1.0,24556000.0,,,1.0,,2034360.0,F,29.0,,15000000.0,0.0,12000000.0,15000000.0,3500000.0,Divorced,College,Tỉnh Gia Lai,Pleiku,Tỉnh Gia Lai
4918,16527047.0,2017-10-10,,12.0,FC TW ATTRACTIVE NEW - 151,31000000.0,0.0,31000000.0,45.0,12.0,12.0,,39207000.0,,1.0,1.0,,,F,28.0,,9000000.0,0.0,2500000.0,46000000.0,15000000.0,Married,College,TP Hồ Chí Minh,Quận 8,TP Hồ Chí Minh
842,16842555.0,2017-10-23,2018-10-26,12.0,FC UP L.G 1 TSA SCORE NEW- 616,30000000.0,1650000.0,31650000.0,,30.0,11.0,0.0,17424000.0,,0.0,,0.0,1571579.0,M,31.0,,12000000.0,,12000000.0,,,Married,High School,Thành phố Đà Nẵng,Liên Chiểu,Thành phố Đà Nẵng
1513,16349076.0,2017-10-07,,12.0,FC UP L.G 2 TSA SCORE NEW- 617,30000000.0,,,44.5,24.0,2.0,0.0,4053302.0,,,0.0,0.0,2014302.0,F,,,,0.0,30000000.0,,7000000.0,Married,,Tỉnh Hà Nam,Thanh Liêm,Tỉnh Hà Nam
1168,16671833.0,2017-10-16,2018-10-26,12.0,FC CD KEY DEALERS 1 - 811,2290000.0,114500.0,2404500.0,45.0,6.0,6.0,1.0,2802000.0,,,1.0,1.0,455000.0,F,38.0,,5000000.0,0.0,1000000.0,10000000.0,3000000.0,Divorced,High School,Tỉnh Sơn La,Sơn La,Tỉnh Sơn La
