APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
16379389,2017-10-09,2018-10-26,12,FC UP CAT B NEW- 610,40000000,2200000,42200000,47.0,24,12.0,1.0,33074400.0,1.0,1.0,1,2744200,M,42,0,12000000,0,24000000,12000000,2000000,Single,High School,Tỉnh Bình Dương,Tân Uyên,Tỉnh Bình Dương
16816044,2017-10-25,2018-10-26,12,FC UP DSA TS SCORE 1- 539,25000000,1375000,26375000,31.5,24,12.0,1.0,18084000.0,1.0,1.0,1,1495142,F,30,0,6000000,0,12000000,20000000,3000000,Married,High School,Tỉnh Tiền Giang,Cái Bè,Tỉnh Tiền Giang
16851157,2017-10-27,2018-10-26,12,FC UP L.G 1 TSA SCORE NEW- 616,10000000,550000,10550000,33.5,18,11.0,0.0,8415000.0,0.0,0.0,0,753630,M,42,0,6000000,0,12000000,11000000,3000000,Married,High School,Tỉnh Hậu Giang,Châu Thành A,Tỉnh Hậu Giang
16427288,2017-10-06,2018-10-26,12,FC UP SUR CF PLUS - 555,30000000,1650000,31650000,60.0,24,5.0,0.0,11529112.0,0.0,0.0,0,2293704,M,46,0,15000000,0,18000000,27000000,6000000,Married,High School,Tỉnh An Giang,Chợ Mới,Tỉnh An Giang
16001929,2017-10-21,2018-10-26,12,FC UP L.G 3 TSA SCORE- 541,20000000,1100000,21100000,59.99,24,12.0,1.0,18492144.0,1.0,1.0,1,1529012,F,46,0,6000000,0,8400000,22000000,4000000,Married,Working Cerfiticate,Thành phố Hà Nội,Ba Vì,Thành phố Hà Nội
16783174,2017-10-25,2018-10-26,12,FC UP EVN VIP NEW- 622,45000000,2475000,47475000,37.0,18,12.0,1.0,41870000.0,1.0,1.0,1,3476211,F,54,0,20000000,0,36000000,25000000,5000000,Married,High School,Tỉnh Đồng Nai,Long Khánh,Tỉnh Đồng Nai
16584570,2017-10-13,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,15000000,825000,15825000,35.0,24,12.0,1.0,11266285.0,1.0,1.0,1,926057,F,49,0,10000000,0,12000000,30000000,8000000,Married,High School,Tỉnh Gia Lai,Chư Păh,Tỉnh Gia Lai
16629460,2017-10-18,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,30000000,1650000,31650000,35.0,30,13.0,1.0,19313726.0,1.0,1.0,1,1597414,M,44,0,12000000,0,18000000,40000000,5000000,Married,High School,Thành phố Hà Nội,Sóc Sơn,Thành phố Hà Nội
16695374,2017-10-18,2018-10-26,12,FC UP DSA TS SCORE 3- 541,15000000,825000,15825000,59.99,12,12.0,1.0,21351000.0,0.0,0.0,1,1785378,F,24,0,7000000,0,12000000,35000000,8700000,Married,College,Tỉnh Đắk Nông,Krông Nô,Tỉnh Đắk Nông
16930474,2017-10-31,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,30000000,1650000,31650000,44.5,24,10.0,0.0,20264114.0,0.0,0.0,0,2014302,F,28,0,13000000,0,12000000,30000000,8000000,Married,High School,Tỉnh Lạng Sơn,Lạng Sơn,Tỉnh Lạng Sơn
16920141,2017-10-27,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,30000000,1650000,31650000,35.0,30,12.0,1.0,17707000.0,0.0,0.0,0,1597414,F,40,0,10000000,0,24000000,40000000,5000000,Married,High School,Tỉnh Hải Dương,Kinh Môn,Tỉnh Hải Dương
16638384,2017-10-17,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,20000000,1100000,21100000,35.0,18,12.0,1.0,18430730.0,1.0,1.0,1,1523365,F,52,0,5000000,0,12000000,20000000,4000000,Married,Basic School,Tỉnh Bình Phước,Đồng Phú,Tỉnh Bình Phước
16365248,2017-10-03,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,25000000,1375000,26375000,44.5,24,1.0,0.0,1700000.0,0.0,0.0,0,1678585,M,39,0,10000000,0,24000000,25000000,4000000,Single,High School,Thành phố Hà Nội,Tây Hồ,Thành phố Hà Nội
16870683,2017-10-27,2018-10-26,12,FC UP CAT B NEW- 610,30000000,1650000,31650000,47.0,36,12.0,1.0,20229000.0,1.0,1.0,1,1654605,F,20,0,7916000,0,6000000,24000000,7000000,Single,High School,Tỉnh Bình Dương,Thuận An,Tỉnh Bình Dương
16737008,2017-10-25,2018-10-26,12,FC UP CAT B NEW- 610,27000000,1485000,28485000,47.0,24,12.0,1.0,22226000.0,0.0,0.0,1,1852335,M,31,0,5316000,0,9600000,20000000,2500000,Married,Middle School,Tỉnh Đồng Nai,Nhơn Trạch,Tỉnh Đồng Nai
16855586,2017-10-28,2018-10-26,12,FC UP L.G 3 TSA SCORE- 541,20000000,1100000,21100000,59.99,24,12.0,1.0,18492000.0,1.0,1.0,1,1529012,F,34,0,10000000,0,24000000,20000000,4000000,Divorced,High School,Tỉnh Khánh Hòa,Cam Lâm,Tỉnh Khánh Hòa
16477691,2017-10-07,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,10000000,550000,10550000,45.0,12,8.0,0.0,13569160.0,1.0,0.0,1,1107880,M,28,0,7000000,0,10800000,27000000,3200000,Married,Working Cerfiticate,Tỉnh Thái Nguyên,Đại Từ,Tỉnh Thái Nguyên
16562794,2017-10-15,2018-10-26,12,FC UP CAT B NEW- 610,30000000,1650000,31650000,47.0,30,12.0,1.0,21884000.0,1.0,1.0,1,1811848,F,29,0,9147000,0,21600000,25000000,5000000,Married,High School,Tỉnh Đồng Nai,Biên Hòa,Tỉnh Đồng Nai
16854146,2017-10-30,2018-10-26,12,FC UP L@W-TOP EMPLOYER-SOURCE 2-383,10000000,550000,10550000,35.0,12,11.0,0.0,11736000.0,0.0,0.0,0,1054610,F,20,0,4191000,0,6000000,10000000,3000000,Single,Middle School,Tỉnh Vĩnh Long,Long Hồ,Tỉnh Vĩnh Long
16591220,2017-10-15,2018-10-26,12,FC UP CAT B NEW- 610,10000000,550000,10550000,47.0,12,11.0,0.0,13570000.0,1.0,0.0,1,1118697,M,33,0,6027000,0,19200000,10000000,3000000,Divorced,Middle School,TP Hồ Chí Minh,Củ Chi,TP Hồ Chí Minh
16837745,2017-10-26,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,25000000,1375000,26375000,35.0,24,14.0,1.0,18666000.0,1.0,1.0,1,1543429,F,26,0,12000000,0,16800000,60000000,10000000,Married,High School,Tỉnh Gia Lai,Pleiku,Tỉnh Gia Lai
16492686,2017-10-10,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,30000000,1650000,31650000,35.0,24,11.0,0.0,18533000.0,0.0,0.0,0,1852114,F,59,0,8000000,0,24000000,20000000,6000000,Married,Basic School,Tỉnh Sóc Trăng,Long Phú,Tỉnh Sóc Trăng
16423070,2017-10-06,2018-10-26,12,FC UP L.G 2 TSA SCORE NEW- 617,10000000,550000,10550000,44.5,12,1.0,0.0,12275000.0,0.0,0.0,0,1105184,M,23,0,12000000,0,30000000,12000000,2500000,Single,College,Thành phố Hà Nội,Bắc Từ Liêm,Thành phố Hà Nội
16840606,2017-10-27,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,30000000,1650000,31650000,35.0,24,11.0,0.0,20515000.0,0.0,0.0,0,1852114,F,43,0,7000000,0,9600000,12000000,2500000,Married,Middle School,Tỉnh Bình Dương,Thuận An,Tỉnh Bình Dương
16413404,2017-10-06,2018-10-26,12,FC UP CAT A NEW- 608,40000000,2200000,42200000,37.0,24,9.0,0.0,22635000.0,0.0,0.0,0,2514223,M,37,0,8400000,0,12000000,15000000,3000000,Married,Middle School,Tỉnh Bình Dương,Bến Cát,Tỉnh Bình Dương
16811825,2017-10-31,2018-10-26,12,FC UP L.G 1 TSA SCORE NEW- 616,25000000,1375000,26375000,33.5,24,8.0,0.0,33123431.0,1.0,0.0,1,1522633,M,42,0,10000000,0,31200000,15000000,5000000,Married,Middle School,Tỉnh Hà Tĩnh,Lộc Hà,Tỉnh Hà Tĩnh
16791682,2017-10-24,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,20000000,1100000,21100000,45.0,24,10.0,0.0,13490000.0,0.0,0.0,0,1348689,M,59,0,6000000,0,12000000,27000000,6000000,Married,Middle School,Tỉnh Tây Ninh,Gò Dầu,Tỉnh Tây Ninh
16467286,2017-10-11,2018-10-26,12,FC UP CAT B NEW- 610,25000000,0,25000000,47.0,36,12.0,1.0,15673910.0,0.0,0.0,1,1306955,F,20,0,4233000,0,12000000,12000000,2000000,Married,High School,Tỉnh Quảng Nam,Hội An,Tỉnh Quảng Nam
16809327,2017-10-24,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,15000000,825000,15825000,45.0,12,11.0,0.0,18413000.0,0.0,0.0,0,1661820,F,22,0,12000000,0,6000000,25000000,1500000,Married,Middle School,Tỉnh An Giang,An Phú,Tỉnh An Giang
