APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT,kmeans_labels,REPAYMENT_RATE,REMAINING_TERM,EXPENSE_INCOME_RATIO,INCOME,AGE_TERM_RATIO,INSURANCE_LOAN_RATIO
16941398,2017-10-31,2018-10-26,12,FC CD PORT LP NEW-1848,4200000,210000,4410000,65.0,6,5.0,0.0,5405000.0,1.0,0.0,1,881000,M,22,0.0,6000000,0,1000000,30000000,7000000,Single,College,Thành phố Hà Nội,NAM TỪ LIÊM,Thành phố Hà Nội,1,1.22562358276644,1.0,0.2222222222222222,28000000,3.6666666666666665,0.05
16448765,2017-10-05,2018-10-26,12,FC CD KEY DEALERS 1 - 811,2000000,100000,2100000,45.0,6,6.0,1.0,2460000.0,1.0,1.0,1,398000,F,56,2.0,8000000,0,1600000,20000000,5000000,Married,High School,Thành phố Hà Nội,Quốc Oai,Thành phố Hà Nội,1,1.1714285714285715,0.0,0.2357142857142857,21400000,9.333333333333334,0.05
16450540,2017-10-05,2018-10-26,12,FC CD DMX SEP OUT-1896,3992000,263472,4255472,0.01,6,6.0,1.0,4332000.0,1.0,1.0,1,710000,M,37,0.0,7000000,0,800000,7000000,800000,Civil Marriage/live-in,Middle School,Tỉnh Đồng Tháp,Cao Lãnh,Tỉnh Đồng Tháp,1,1.0179834340350495,0.0,0.11428571428571428,12400000,6.166666666666667,0.066
16533114,2017-10-09,2018-10-26,12,FC CD DMX SEP IN-1899,8190000,540540,8730540,0.01,6,6.0,1.0,8808000.0,1.0,1.0,1,1456000,M,32,1.0,10000000,0,2000000,16000000,4000000,Civil Marriage/live-in,High School,TP Hồ Chí Minh,Quận 12,TP Hồ Chí Minh,1,1.0088723034314029,0.0,0.23076923076923078,20000000,5.333333333333333,0.066
16688681,2017-10-16,2018-10-26,12,FC TW LIGHT START 3 - 139,12000000,0,12000000,68.0,6,6.0,1.0,14562000.0,1.0,1.0,1,2415000,F,46,0.0,8000000,0,1000000,18000000,4000000,Married,Middle School,Tỉnh Ninh Thuận,Ninh Phước,Tỉnh Ninh Thuận,1,1.2135,0.0,0.19230769230769232,21000000,7.666666666666667,0.0
16533663,2017-10-10,2018-10-26,12,FC CD P DP0 LP - 848,4490000,224500,4714500,85.0,6,6.0,1.0,6024000.0,1.0,1.0,1,992000,F,29,0.0,5000000,0,2000000,15000000,8000000,Married,High School,Tỉnh Kiên Giang,Rạch Giá,Tỉnh Kiên Giang,1,1.277760101813554,0.0,0.5,10000000,4.833333333333333,0.05
16559233,2017-10-12,2018-10-26,12,FC TW ATTRACTIVE NEW - 151,32500000,1625000,34125000,45.0,15,6.0,0.0,42087000.0,1.0,0.0,1,3016000,F,29,0.0,10000000,0,1000000,24000000,3000000,Married,Middle School,TP Hồ Chí Minh,Quận 1,TP Hồ Chí Minh,0,1.2333186813186814,9.0,0.11764705882352941,30000000,1.9333333333333333,0.05
16607211,2017-10-14,2018-10-26,12,FC TW 0% DP - 143,15000000,825000,15825000,45.0,6,6.0,1.0,18042000.0,1.0,1.0,1,2995000,M,22,0.0,9000000,0,1000000,19000000,3500000,Single,College,Tỉnh Bắc Ninh,Yên Phong,Tỉnh Bắc Ninh,0,1.1400947867298579,0.0,0.16071428571428573,23500000,3.6666666666666665,0.055
16627871,2017-10-14,2018-10-26,12,FC CD MBW SEP IN-1864,2394000,158004,2552004,0.01,4,4.0,1.0,2601000.0,1.0,1.0,1,639000,M,29,0.0,8000000,0,1000000,30000000,3000000,Other,High School,Tỉnh Bình Thuận,Hàm Thuận Nam,Tỉnh Bình Thuận,1,1.0191990294686057,0.0,0.10526315789473684,34000000,7.25,0.066
16686326,2017-10-17,2018-10-26,12,FC CD KEY DEALERS 2 NEW- 1801,4220000,211000,4431000,35.0,9,9.0,1.0,5211000.0,1.0,1.0,1,567000,F,45,0.0,7000000,0,1000000,25000000,4000000,Married,Middle School,Tỉnh Bình Thuận,Phan Thiết,Tỉnh Bình Thuận,1,1.1760324983073798,0.0,0.15625,27000000,5.0,0.05
16875624,2017-10-27,2018-10-26,12,FC CD OPPO 10 NKD OCT OUT-1944,4221000,278586,4499586,17.7,10,8.0,0.0,4000000.0,0.0,0.0,0,488000,F,23,0.0,5000000,0,1000000,15000000,6000000,Civil Marriage/live-in,High School,Tỉnh Thanh Hóa,Quảng Xương,Tỉnh Thanh Hóa,1,0.8889706741909145,2.0,0.35,13000000,2.3,0.066
